episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
20,11.0,3.6032813905501113,0.6475533247435427,0.876811267125864,-8.366777954940854,2.246635519289687,[-8.366777954940854 2.246635519289687],0.7123246779028295,False,True,3.0692288998110984,4,17.709159380834848,225.169,in_progress,0.0,0
20,12.0,3.694769779792672,0.6707673876817731,5.463498348529056,-30.0,1.8518981218459072,[-30.0 1.8518981218459072],0.899633746752394,False,True,3.5858985060256985,4,17.709159380834848,225.219,in_progress,0.0,0
20,13.0,3.787236897941453,0.6783536499099726,5.242660102625165,-30.0,2.5,[-30.0 2.5],0.6945875157035692,False,True,4.108057377959774,5,17.709159380834848,225.298,in_progress,0.0,0
20,14.0,3.894954850385556,0.6730935701522129,1.9735297276949468,-24.694902866891223,2.1529349663845583,[-24.694902866891223 2.1529349663845583],0.6890252035839295,False,True,4.716309002184219,6,17.709159380834848,225.359,in_progress,0.0,0
20,15.0,4.013273630359383,0.652188737884413,-3.2051778209093733,5.154160180805405,2.5,[5.154160180805405 2.5],0.717034679256236,False,True,5.3843899144658565,6,17.709159380834848,225.441,in_progress,0.0,0
20,16.0,4.128512155267953,0.6309268400277434,-6.198238385702381,17.81380493524309,2.5,[17.81380493524309 2.5],0.6746702967746538,False,True,6.035074667090164,7,17.709159380834848,225.501,in_progress,0.0,0
20,17.0,4.279722139943696,0.6215797360068822,-4.777702107277214,18.218514414869183,2.423395570614014,[18.218514414869183 2.423395570614014],0.6648007874337636,False,True,6.888905733781877,8,17.709159380834848,225.571,in_progress,0.0,0
20,18.0,4.408907756596518,0.6253592569488922,-1.8272546249066768,19.42071063162986,1.8554288577763225,[19.42071063162986 1.8554288577763225],0.8825772575654396,False,True,7.6183994207778785,9,17.709159380834848,225.637,in_progress,0.0,0
20,19.0,4.549623562283858,0.6391132986544018,1.8180413990557516,6.318305122055072,2.5,[6.318305122055072 2.5],0.7031074041522271,False,True,8.413020356151403,10,17.709159380834848,225.694,in_progress,0.0,0
20,20.0,4.701636220662777,0.6626697119611507,5.4694292592897815,-20.543203322784418,0.5,[-20.543203322784418 0.5],0.5527799984904499,False,True,9.271450560358826,11,17.709159380834848,225.771,in_progress,0.0,0
20,21.0,4.831838033870845,0.6806403154736465,7.413756511555518,-21.726872947642498,2.5,[-21.726872947642498 2.5],0.696594301841031,False,True,10.006710497333314,12,17.709159380834848,225.833,in_progress,0.0,0
20,22.0,4.9709322470716355,0.6872616984717043,5.04357710589961,-30.0,2.30610431902673,[-30.0 2.30610431902673],0.69651078989315,False,True,10.792161465699172,13,17.709159380834848,225.896,in_progress,0.0,0
20,23.0,5.116595952274619,0.6777731009122869,0.5005803831675014,-30.0,0.6872094862883975,[-30.0 0.6872094862883975],0.5809140767140425,False,True,11.61467499425477,14,17.709159380834848,225.974,in_progress,0.0,0
20,24.0,5.246602365214435,0.6521826006380913,-6.201209900303322,-3.4498927908387493,2.5,[-3.4498927908387493 2.5],0.966562190893833,False,True,12.348752707730725,15,17.709159380834848,226.038,in_progress,0.0,0
20,25.0,5.37466121104401,0.6255643415606597,-8.844792489364394,-13.712012819342817,0.5,[-13.712012819342817 0.5],0.5185653405603963,False,True,13.071780894075937,15,17.709159380834848,226.098,in_progress,0.0,0
20,26.0,5.5024642588153965,0.5918563890317361,-11.768814750155931,30.0,2.3049636455247935,[30.0 2.3049636455247935],0.8140593467441777,False,True,13.792843422473497,16,17.709159380834848,226.161,in_progress,0.0,0
20,27.0,5.627396619686776,0.5617468674213838,-12.311775198780843,30.0,1.0023670816405619,[30.0 1.0023670816405619],0.5217773428067449,False,True,14.499299650545423,17,17.709159380834848,226.24,in_progress,0.0,0
20,28.0,5.744504031371957,0.548234486733098,-9.810427502232672,30.0,1.003587196723749,[30.0 1.003587196723749],0.5078749834522729,False,True,15.160605943414474,18,17.709159380834848,226.303,in_progress,0.0,0
20,29.0,5.837966195114151,0.5415512619589707,-7.696308647557662,30.0,1.7151018936620144,[30.0 1.7151018936620144],0.6435672015787004,False,True,15.691838145298714,19,17.709159380834848,226.37,in_progress,0.0,0
